phase,epoch,train_loss,val_loss,val_macro_f1,val_accuracy
head,1,2.967491259177526,2.213490371350889,0.29302945295131644,0.3101851851851852
finetune,1,1.0314319699450776,0.773172793564973,0.7326583073035157,0.7361111111111112
finetune,2,0.48335324234708593,0.48036994177986075,0.8480262987147046,0.8472222222222222
